x_coord	y_coord	conditions	clusters	energy
10.691166	-5.213395	WT	Cluster3	10.6
-68.920654	4.125696	WT	Cluster0	10.6
-43.46559	1.3490031	WT	Cluster0	10.6
74.19451	-25.85097	WT	Cluster4	7.6
-67.71356	-13.726722	WT	Cluster0	10.6
63.127636	-13.720932	WT	Cluster4	9.3
-9.668625	0.3413958	WT	Cluster3	9.3
-82.666756	-8.990108	WT	Cluster0	10.6
-69.20516	8.409298	WT	Cluster0	10.6
53.899284	16.563988	WT	Cluster1	7.8
60.482567	-9.586281	WT	Cluster4	9
-27.924553	62.557354	WT	Cluster2	4.7
-85.56542	-1.8607324	WT	Cluster0	8.6
8.395285	-39.016808	WT	Cluster3	9.5
-81.454445	2.8022666	WT	Cluster0	10.6
-84.50884	-28.457949	WT	Cluster0	11.5
88.56281	-15.598687	WT	Cluster4	7.9
-82.5213	-0.1395403	WT	Cluster0	10.4
-72.02713	0.72059005	WT	Cluster0	10.4
4.4190536	-8.232781	WT	Cluster3	9.7
84.018776	-13.708737	WT	Cluster4	7.8
63.77065	10.225137	WT	Cluster1	6.1
30.877647	28.747812	WT	Cluster1	7.9
-67.02076	7.092721	WT	Cluster0	10.6
55.365913	22.302132	WT	Cluster1	7.9
9.467378	-35.539036	WT	Cluster3	9.5
-81.83394	-9.662682	WT	Cluster0	10.4
43.739586	5.072923	WT	Cluster1	12.1
41.040936	-47.725597	WT	Cluster3	10.2
4.9053564	-1.6530507	WT	Cluster3	9.2
31.710606	23.675753	WT	Cluster1	7.8
-2.7833524	-54.95392	WT	Cluster3	10.4
39.814247	29.709145	WT	Cluster1	10.4
7.3666844	-41.00478	WT	Cluster3	9.5
-42.859215	2.431289	WT	Cluster0	8.9
6.3528504	3.7871377	WT	Cluster3	10.4
90.19914	-13.916536	WT	Cluster4	7.9
7.736185	-2.0663424	WT	Cluster3	9.7
4.1806445	-0.9193845	WT	Cluster3	9.4
-92.70775	-4.629779	WT	Cluster0	10.6
-89.962074	-2.3785431	WT	Cluster0	10.4
4.9360876	-45.1875	WT	Cluster3	6.4
-61.4362	-23.838415	WT	Cluster0	10.6
-40.43391	52.603027	WT	Cluster2	10.4
13.475107	-1.7383121	WT	Cluster3	9.5
-1.462693	0.38687348	WT	Cluster3	9.6
-65.90691	-0.2620686	WT	Cluster0	10.6
-2.0971944	-13.170936	WT	Cluster3	9.4
2.1984935	-37.56981	WT	Cluster3	9.3
73.94993	-24.30269	WT	Cluster4	7.6
-66.43597	-22.76672	WT	Cluster0	10.4
74.24465	-9.456632	WT	Cluster4	7.9
25.869701	31.860363	WT	Cluster1	7.8
26.873964	30.311203	WT	Cluster1	7.9
67.09253	-15.726975	WT	Cluster4	7.6
-69.820984	-19.263409	WT	Cluster0	10.4
1.3284419	-28.689148	WT	Cluster3	9.3
0.7643591	-22.885166	WT	Cluster3	8.1
8.495558	1.4665155	WT	Cluster3	9.3
65.2933	-31.025984	WT	Cluster4	10.4
62.85154	-35.433823	WT	Cluster4	12.1
27.080019	31.294357	WT	Cluster1	7.8
92.9684	-20.70194	WT	Cluster4	7.8
81.07653	-14.174511	WT	Cluster4	5.1
-89.01214	-5.429715	WT	Cluster0	10.4
91.12882	-24.892006	WT	Cluster4	7.6
-4.4722013	5.190201	WT	Cluster3	9.5
64.76905	13.492362	WT	Cluster1	7.8
1.8183246	-26.930595	WT	Cluster3	9.5
21.438377	33.164883	WT	Cluster1	10.6
3.7651367	3.6453311	WT	Cluster3	9.6
-73.51046	-12.042824	WT	Cluster0	10.6
6.0457706	-45.280132	WT	Cluster3	10.6
64.76783	11.243711	WT	Cluster1	7.2
-73.930824	4.476619	WT	Cluster0	10.6
-4.1879683	-26.627035	WT	Cluster3	11.5
52.767536	-45.964657	WT	Cluster4	16.5
-22.657642	-31.795092	WT	Cluster3	10.6
70.4514	-19.583132	WT	Cluster4	7.4
8.045124	-0.8700164	WT	Cluster3	9.5
-83.34545	2.4573898	WT	Cluster0	10.6
51.242138	15.544326	WT	Cluster1	6.2
82.55824	-15.605639	WT	Cluster4	7.9
58.8646	20.662092	WT	Cluster1	7.6
-90.359085	0.13348635	WT	Cluster0	10.4
57.976414	16.600826	WT	Cluster1	7.6
-64.253136	-21.920916	WT	Cluster0	8.6
-82.76009	0.75692916	WT	Cluster0	10.4
57.567184	-2.2412512	WT	Cluster4	9.6
-75.5139	-13.366342	WT	Cluster0	10.4
77.45168	-6.2333455	WT	Cluster4	7.9
4.286873	-2.670662	WT	Cluster3	9.3
33.58976	27.86727	WT	Cluster1	7.9
-70.652054	-20.305601	WT	Cluster0	8.6
75.05873	-21.570253	WT	Cluster4	7.6
-88.286545	-18.777264	WT	Cluster0	10.6
5.0160356	-37.295597	WT	Cluster3	7.8
68.31157	-33.814007	WT	Cluster4	10.4
38.957684	29.139202	WT	Cluster1	7.6
8.407416	-38.15794	WT	Cluster3	9.5
29.350063	29.396828	WT	Cluster1	7.9
83.499535	-14.990943	WT	Cluster4	6.1
-4.262279	-59.637745	WT	Cluster3	8.1
79.22689	-16.15643	WT	Cluster4	7.8
9.211142	0.18638057	WT	Cluster3	9.2
7.8515143	-32.96935	WT	Cluster3	9.5
62.53335	14.858552	WT	Cluster1	7.9
28.710619	23.261463	WT	Cluster1	10.6
-67.49409	6.287471	WT	Cluster0	8.9
-42.203922	55.399326	WT	Cluster2	10.6
32.096355	29.74579	WT	Cluster1	7.9
1.8736963	-37.57795	WT	Cluster3	9.5
24.416042	27.484652	WT	Cluster1	7.6
87.53736	-13.419455	WT	Cluster4	7.6
-86.36412	-10.792385	WT	Cluster0	8.6
-2.2070727	-24.172861	WT	Cluster3	11.3
-59.788673	-21.47721	WT	Cluster0	12.3
27.056953	34.346313	WT	Cluster1	5.9
34.509705	24.898523	WT	Cluster1	6.1
59.637466	-18.119907	WT	Cluster4	10.4
72.415924	-29.16764	WT	Cluster4	7.8
-75.143524	-9.8011	WT	Cluster0	10.6
54.771976	17.492603	WT	Cluster1	7.8
48.20867	13.753349	WT	Cluster1	7.6
9.092514	-35.005257	WT	Cluster3	9.3
-5.906694	29.946358	WT	Cluster2	10.6
-72.07791	-16.530792	WT	Cluster0	10.6
27.07877	26.873991	WT	Cluster1	7.9
-86.72302	11.581288	WT	Cluster0	10.4
-37.43549	52.387596	WT	Cluster2	10.6
32.837208	16.8727	WT	Cluster1	7.4
57.112846	-17.55669	WT	Cluster4	10.6
84.37102	-19.138685	WT	Cluster4	7.8
47.368866	14.277053	WT	Cluster1	7.8
-42.074665	60.900448	WT	Cluster2	10.4
40.761726	32.937584	WT	Cluster1	7.8
87.99343	-16.75617	WT	Cluster4	7.6
61.397568	-9.317505	WT	Cluster4	7.2
88.08404	-13.6185055	WT	Cluster4	7.8
1.6529194	-3.6502957	WT	Cluster3	9.4
-4.761095	10.348473	WT	Cluster3	9.2
73.84032	-22.394564	WT	Cluster4	7.6
3.1164682	-25.389484	WT	Cluster3	9.5
-89.45941	-6.6255856	WT	Cluster0	10.4
-6.1961503	-21.091972	WT	Cluster3	7.9
-91.23426	-4.935834	WT	Cluster0	10.6
-88.03978	-2.3820312	WT	Cluster0	10.6
10.560039	-34.391636	WT	Cluster3	9.5
-2.2306635	-24.039175	WT	Cluster3	11.3
78.39919	-7.3547435	WT	Cluster4	7.8
-81.6035	-2.8593483	WT	Cluster0	8.9
-89.48519	-4.969296	WT	Cluster0	10.6
13.140225	-6.3271246	WT	Cluster3	11.5
11.367187	-7.0546656	WT	Cluster3	9.5
-96.734344	-22.222439	WT	Cluster0	10.6
24.612522	32.06383	WT	Cluster1	7.9
67.491165	-14.5685215	WT	Cluster4	7.8
-4.519229	-29.668726	WT	Cluster3	11.5
36.295544	32.0008	WT	Cluster1	7.6
3.351023	-30.187292	WT	Cluster3	9.3
39.48275	48.846863	WT	Cluster1	5.3
34.086708	6.252231	WT	Cluster1	10.4
-4.3720093	-56.935936	WT	Cluster3	10.6
-58.66567	-1.0528629	WT	Cluster0	10.6
3.7904754	-29.59546	WT	Cluster3	9.3
-72.9303	-18.63329	WT	Cluster0	10.4
9.181286	1.1831038	WT	Cluster3	9.4
37.767265	31.817577	WT	Cluster1	7.6
10.392913	-3.1584408	WT	Cluster3	9.4
25.518995	22.555634	WT	Cluster1	7.8
33.04909	23.67508	WT	Cluster1	7.6
-3.7336242	-0.8013504	WT	Cluster3	9.4
37.743484	29.250229	WT	Cluster1	7.9
2.7514532	-30.509087	WT	Cluster3	9.3
58.818184	-10.408574	WT	Cluster4	9.2
82.579475	-13.529836	WT	Cluster4	7.9
-61.621147	-2.6061802	WT	Cluster0	10.4
38.663708	15.253347	WT	Cluster1	7.9
-82.9247	-0.83174455	WT	Cluster0	10.6
72.788864	-28.00518	WT	Cluster4	7.6
54.28497	6.3887634	WT	Cluster1	6.1
59.18034	3.2351966	WT	Cluster1	10.6
-45.134987	-6.3655457	WT	Cluster0	10.4
1.5473251	-39.9139	WT	Cluster3	8.1
-1.0623288	-34.921253	WT	Cluster3	9.5
-44.240673	55.733295	WT	Cluster2	10.6
53.380314	29.123545	WT	Cluster1	7.8
61.17202	14.100075	WT	Cluster1	7.9
40.836388	14.882086	WT	Cluster1	7.8
54.349953	16.219004	WT	Cluster1	8.2
45.640453	30.996378	WT	Cluster1	7.6
4.7626295	-1.5784696	WT	Cluster3	9.2
34.054535	26.276289	WT	Cluster1	7.6
74.185524	-14.637755	WT	Cluster4	7.7
82.5153	-13.336236	WT	Cluster4	7.9
63.40377	18.282055	WT	Cluster1	7.8
89.512245	-16.031393	WT	Cluster4	7.8
-5.941005	-39.20896	WT	Cluster3	8.6
72.73185	-23.223703	WT	Cluster4	7.7
-89.851234	-5.388332	WT	Cluster0	10.4
-20.619495	-18.518618	WT	Cluster3	4.8
-89.83613	-2.0530276	WT	Cluster0	10.4
-11.062639	-48.065357	WT	Cluster3	12.1
77.59585	-13.583034	WT	Cluster4	7.4
2.7539546	-41.84998	WT	Cluster3	6.4
68.299034	-16.57496	WT	Cluster4	7.8
62.922615	15.4958515	WT	Cluster1	7.7
13.776442	-6.9847984	WT	Cluster3	9.5
66.0321	13.827637	WT	Cluster1	5.8
-4.22183	-51.793297	WT	Cluster3	10.3
48.21303	16.956686	WT	Cluster1	7.8
3.938024	-35.396828	WT	Cluster3	9.3
7.201715	-0.042466145	WT	Cluster3	9.4
-73.56632	-15.540766	WT	Cluster0	10.6
75.107376	-25.185068	WT	Cluster4	6.2
66.977715	-15.326581	WT	Cluster4	7.6
-64.90686	-21.52962	WT	Cluster0	10.6
91.69779	-21.736727	WT	Cluster4	7.9
36.433758	15.768174	WT	Cluster1	7.2
34.034695	25.995829	WT	Cluster1	7.6
-18.154665	-32.074978	WT	Cluster3	9.5
53.36604	25.311447	WT	Cluster1	7.6
61.594048	-8.979298	WT	Cluster4	9.2
3.4916227	-1.7899058	WT	Cluster3	9.7
-88.49379	-4.7871947	WT	Cluster0	10.6
-41.88807	50.15075	WT	Cluster2	10.6
14.205848	-7.20311	WT	Cluster3	9.5
-4.20961	-59.540173	WT	Cluster3	8.1
-11.873486	-44.14487	WT	Cluster3	11.5
-10.78148	-42.19519	WT	Cluster3	12.3
44.25035	-67.14191	WT	Cluster3	8.8
46.48175	14.841553	WT	Cluster1	7.6
33.79357	23.978811	WT	Cluster1	7.7
92.367584	-16.416626	WT	Cluster4	10.6
87.90596	-16.815819	WT	Cluster4	7.6
-72.42442	-15.054221	WT	Cluster0	10.4
-12.240733	8.78022	WT	Cluster3	10.5
-65.96408	-21.120842	WT	Cluster0	10.4
-91.77149	-32.00569	WT	Cluster0	10.6
6.615279	-30.21989	WT	Cluster3	9.3
