Pos1	MeanPSI
-50	0.864946678
-49	0.26111497
-48	0.907313657
-47	0.865344406
-46	0.896211846
-45	0.787927494
-44	0.790530359
-43	0.650096374
-42	0.792100917
-41	0.694948742
-40	0.727250144
-39	0.770796952
-38	0.915602833
-37	0.650734933
-36	0.619488406
-35	0.604032857
-34	0.736514885
-33	0.537432486
-32	0.585661409
-31	0.49397728
-30	0.893520634
-29	0.838948541
-28	0.781386448
-27	0.849762725
-26	0.805848508
-25	0.497218718
-24	0.787004861
-23	0.795056175
-22	0.687083914
-21	0.70714143
-20	0.638894433
-19	0.8086017
-18	0.713952836
-17	0.791514259
-16	0.451436194
-15	0.868726817
-14	0.802114703
-13	0.73848441
-12	0.66087492
-11	0.812222974
-10	0.404494507
-9	0.876180657
-8	0.848665641
-7	0.110637831
-6	0.918723141
-5	0.885235491
-4	0.202328452
-3	0.822132514
-2	0.683531008
-1	0.700258584
1	0.913712813
2	0.526535169
3	0.490577394
4	0.395390706
5	0.160921523
6	0.440150504
7	0.706189052
8	0.446414927
9	0.669748447
10	0.696733805
11	0.760671946
12	0.942532861
13	0.920838169
14	0.812390762
15	0.872197247
16	0.810574169
17	0.493184822
18	0.5909757
19	0.565555635
20	0.579130389
21	0.495338211
22	0.403421475
23	0.833331254
24	0.408422245
25	0.414515602
26	0.491128612
27	0.223055515
28	0.317404297
29	0.333146963
30	0.329528804
31	0.278909901
32	0.269032338
33	0.562791495
34	0.633851126
35	0.353876223
36	0.876716267
37	0.766141882
38	0.510977959
39	0.43169559
40	0.625847518
41	0.736995829
42	0.451884919
43	0.539597572
44	0.455467928
45	0.697362582
46	0.528258351
47	0.76344588
48	0.73500273
49	0.843491215
50	0.852524926
